idiom,gloss,tags
Purple patch,"An overly elaborate or effusive piece of writing. Also, a period of notable success or good luck.","idiom,english"
Push the boat out,"To spend generously. To spend more than one is normally accustomed to doing, often to mark a special occasion.","idiom,english"
Push the envelope,"To attempt to extend the current limits of performance. To innovate, or go beyond commonly accepted boundaries.","idiom,english"
Put a damper on,"Make dishearted, especially to diminish interest in something that was previously exciting.","idiom,english"
Put a sock in it,A request to be quiet.,"idiom,english"
Put a spanner in the works,"To throw a spanner in the works is to, deliberately or otherwise, cause disruption; to interfere with the smooth running of something.","idiom,english"
Put on the wooden overcoat,Die.,"idiom,english"
Put on your thinking cap,Take time for consideration of some question.,"idiom,english"
Put paid to,To deal with effectively; to finish something off.,"idiom,english"
Put the cart before the horse,Reverse the accepted or logical order of things.,"idiom,english"
Put the mockers on,"To thwart someone's efforts or cause them to have bad luck. Also, to have the mockers on - to be cursed with bad luck.","idiom,english"
Put the wood in the hole,Close the door.,"idiom,english"
Put up your dukes,Put up your fists and prepare to fight.,"idiom,english"
Put your back up,Make one angry.,"idiom,english"
Put your best foot forward,Embark on a journey or task with purpose and gusto.,"idiom,english"
Put your nose out of joint,Hurt your feelings or upset your plans.,"idiom,english"
Put your shoulder to the wheel,To 'put your shoulder to the wheel' is to respond to a problem by applying oneself and making your best effort. It is similar in meaning to 'get stuck in'.,"idiom,english"
Pyrric victory,A victory gained at too great a cost.,"idiom,english"
Quality time,Time in which individual attention is given to an otherwise neglected child or partner.,"idiom,english"
Quantum leap,"A sudden, very noticable and significant advance.","idiom,english"
Quarter - Give no,"Show no mercy or concession; in its original usage, show no mercy for a vanquished opponent.","idiom,english"
Queer as a nine bob note,Odd or unusual. Also used to mean homosexual.,"idiom,english"
Queer Street,An imaginary street where people in difficulty live.,"idiom,english"
Queer the pitch,(Originally) interfere with or spoil the business of a tradesman or showman. (More recently) spoil the business at hand.,"idiom,english"
Quick and the dead - The,All souls - alive or dead.,"idiom,english"
Quicker than lager turns to piss,Very quick.,"idiom,english"
Quid pro quo,Something given in return for a item of equivalent value - like tit for tat.,"idiom,english"
Quotations,People love to talk and when they say something memorable we call it a quotation.,"idiom,english"
Rabbit and pork,Talk.,"idiom,english"
Rack and ruin,Complete destruction.,"idiom,english"
Rag-and-bone man,"A rag-and-bone man is a collector of discarded clothes, bones and other low-value items that can be re-sold to merchants. Cloth was recycled to make shoddy and bones were used to make glue.","idiom,english"
Rack your brains,To rack one's brains is to strain mentally to recall or to understand something.,"idiom,english"
"Rag, tag and bobtail",A common rabble - the hoi polloi.,"idiom,english"
Raining cats and dogs,Raining very heavily.,"idiom,english"
Raining stair-rods,Raining stair rods means 'aining very heavily'.,"idiom,english"
Raise Cain,To be 'raising Cain' is to be causing trouble or creating an uproar.,"idiom,english"
Rank and file,The ordinary members of a group; as opposed to the group leadership.,"idiom,english"
Raspberry tart,Fart.,"idiom,english"
Raze to the ground,To destroy and sweep completely away.,"idiom,english"
Rat arsed,Drunk.,"idiom,english"
Read between the lines,Discern a meaning which isn't made obvious or explicit.,"idiom,english"
Read the riot act,Reprimand rowdy characters and warn them to stop behaving badly.,"idiom,english"
Real McCoy,The real thing - not a substitute.,"idiom,english"
Red-handed (caught),"To be caught red-handed is to be caught in the act of committing a misdemeanour, with the evidence there for all to see.","idiom,english"
Red herring,A deliberate misleading and diverting of attention from the real issue.,"idiom,english"
Red in tooth and claw,"A reference to the sometimes violent natural world, in which predatory animals unsentimentally cover their teeth and claws with the blood of their prey as they kill and devour them.","idiom,english"
Red-letter day,"In earlier times a church festival or saint's day; more recently, any special day.","idiom,english"
Red rag to a bull - A,"To wave a red rag to a bull is to deliberately provoke it. More generally, the expression denotes any deliberate action intended to bring about an adverse reaction.","idiom,english"
Red sky at night ...,This is the first part of the weather-lore rhyme:,"idiom,english"
Red tape,Rigid or mechanical adherence to bureaucratic rules and regulations especially those involving unnecessary paperwork.,"idiom,english"
Reduplicated phrases,"The coinage of new words and phrases into English has been greatly enhanced by the pleasure we get from playing with words. There are numerous alliterative and rhyming idioms, which are a significant feature of the language. These aren't restricted to poets and Cockneys; everyone uses them. We start in the nursery with choo-choos, move on in adult life to hanky-panky and end up in the nursing home having a sing-song.","idiom,english"
Religion is the opium of the people,"This is probably the best-known quotation by Karl Marx, the German economist and Communist political philosopher. The origin German text, in Critique of Hegel's Philosophy of Right, 1843 is:","idiom,english"
Rest on his laurels,To be satisfied with one's past success and to consider further effort unnecessary.,"idiom,english"
"Revenge is a dish best served cold Rhyme nor reason Rhyming slang Richard of York gave battle in vain Richard the Third Riddle wrapped up in an enigma - A Ride a cock-horse to Banbury Cross Riding shotgun Riff-raff Riley - the life of [That] Rings a bell Ring a ring o'roses, a pocketful of posies, atishoo, atishoo, all fall down Ring down the curtain Ring-fencing Ring the changes Rinky-dink Rise and shine Road less travelled - The Road apples Road rage Roasted to a turn Rob Peter to pay Paul Rock and roll It's not rocket science A rolling stone gathers no moss Romeo, Romeo, wherefore art thou Romeo? Rose by any other name would smell as sweet - A Rose is a rose is a rose Rosie Lea Rough diamond Round Robin Route one Rub of the green Rule of thumb Rum do Rumpy-pumpy Run a mile Run amok Run of the mill Run out of steam Run rings around Run the gauntlet Sacred cow Safe as houses - As Safe pair of hands - A Safe sex Salad days Salt of the earth - The San fairy Ann Sandwich short of a picnic Save face Save one's bacon Saved by the bell Savoir faire Say cheese Say goodnight Gracie Scapegoat Scarper Scot-free Scott (Sir Walter - phrases coined by) Screw your courage to the sticking place 'Scuse me while I kiss this guy Sea change Sealed with a loving kiss Season of mists and mellow fruitfulness Second-guess Security blanket See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day See red Seek and you shall find Seen better days Send packing Senior citizen Sent to Coventry Separate the sheep from the goats Set one's cap at Set your teeth on edge Sex and shopping Seven-year itch Sexton Blake Shebang - The whole Shaggy dog story Shake a leg Shakers and movers Shakespeare (phrases and sayings of) Shall I compare thee to a summer's day? Shambles Shanks' mare/shanks' pony Share and share alike Shilly-shally Ship shape and Bristol fashion Shit end of the stick - The Shit for brains Shiver my timbers Shoddy Short end of the stick - The Shot across the bows Shot heard 'round the world - The Shot in the arm Shot in the dark Shoot through Short shrift Show a leg - see shake a leg Show your mettle Shrinking violet Shuffle off this mortal coil Shut your cake-hole Siamese twins Sick puppy (A) Sight for sore eyes (A) Silly Billy Silly season Silver lining - every cloud has a Sir Walter Scott (phrases coined by) Silence is golden Silver bullet Similes Sitting pretty Sixes and sevens - At Skeleton in the closet Skid row Skin and blister (By the) skin of your teeth (The) sky's the limit Sledgehammer to crack a nut - A Sleep like a top Sleep on a clothesline Sleep tight Sleeveless errand Sloane Ranger Slush fund Smallest room in the house - The Smart casual Smoke and mirrors Snug as a bug in a rug So sue me Soap-dodger Sod's Law Sold down the river Some are born great, some achieve greatness, and some have greatness thrust upon 'em Some men are born mediocre, some men achieve mediocrity, and some men, have mediocrity thrust upon them Someone is walking over my grave Something for the weekend sir? Something nasty in the woodshed Something old, something new, something borrowed, something blue Son of a bitch Son of a gun Sorry sight Sound bite Sound out Sour grapes Space, the final frontier Spare the rod and spoil the child Speak of the Devil Speak softly and carry a big stick Special relationship Spelling-bee Spend a penny Spick and span Spill the beans Spin doctor Spitting feathers Spitting image Spoonerisms Spring forward, fall back Spruce-up Square meal Squeaky bum time Stand and deliver Stand up guy Standing on the shoulders of giants Star-crossed lovers Stark, raving mad Stars and garters - My Start from scratch Steal a march Steal my thunder Step up to the plate Stick in the mud Sticks and stones may break my bones Sticky wicket Stiff upper lip Stiffen the sinews Stinking rich Stitch in time saves nine - A Stone the crows Stone's throw Stony-hearted Stool pigeon Storm in a teacup Straight as a die Straight from the horse's mouth Strain at the leash Strait-laced Strait and narrow Stranger danger Stranger than fiction - Truth is Strike while the iron is hot Stuff and nonsense Stump up Such is life Surf and turf Surfing the Net/surfing the Internet/surfing the Web Survival of the fittest Suspension of disbelief Swan song Sweet Fanny Adams Swing for you Swing the lead Tail wagging the dog - The Take a back seat Take care of the pence and the pounds will take care of themselves Take down a peg or two Take potluck Take the bit between your teeth Take the cake Take the gilt off the gingerbread Take the Mickey Take the upper hand Take umbrage Take with a grain of salt Taken aback Taken for a ride Talk of the Devil Talk the talk Talk through one's hat Talk to the hand Tall story Tanstaafl - (there's no such thing as a free lunch) Tattoo phrases and sayings Tawdry Tea leaf Technicolor yawn Tell it to the marines Tell me about it Tempest in a teapot Test your mettle - see show your mettle That's all folks! That's all she wrote That's one small step for a man, a giant leap for mankind The ants are my friends, they're blowing in the wind The apple never falls far from the tree The apple of my eye The back of beyond The balance of power The balance of trade The bane of my life The bee's knees The belle of the ball The best defense is a good offence The best laid schemes of mice and men The Big Apple The Big Easy The birds and the bees The bitter end The blind leading the blind The bread of life The buck stops here The call of the wild The camera cannot lie The chickens come home to roost The child is father to the man The collywobbles The course of true love never did run smooth The crack of doom The Crapper The customer is always right The cut of your jib The dark side The darkest hour is just before the dawn The Devil has all the best tunes The Devil Incarnate The Devil is in the details The Devil makes work for idle hands to do The Devil take the hindmost The Devil to pay The die has been cast The early bird catches the worm The elephant in the room The emperor's new clothes The ends of the earth The exception which proves the rule The face that launched a thousand ships The fat of the land The female of the species is more deadly then the male The fifth estate The floozie in the jacuzzi The fly in the ointment The full monty The game is afoot The game is up The great unwashed The hair of the dog that bit you The hairy eyeball The heebie-jeebies The jury is still out The land of nod The last straw The law is an ass The life of Riley The living daylights The love that dare not speak its name The monstrous regiment of women The more the merrier The moving finger writes The mutt's nuts The nth degree The opera ain't over till the fat lady sings The pen is mightier than the sword The pip - Get/got/have The pot calling the kettle black The powers that be The proof of the pudding is in the eating The quick and the dead The real McCoy The road less travelled The road to hell is paved with good intentions The salt of the earth The seven-year itch The shoemaker always wears the worst shoes The short end of the stick The shot heard 'round the world The sky's the limit The smallest room in the house The straw that broke the camel's back The tail wagging the dog The toast of the town The third degree The triumph of hope over experience The upper hand The usual suspects The whole kit and caboodle The whole nine yards The whole shebang The writing is on the wall The wrong side of the blanket The year dot The Yellow Peril There is more than one way to kill a cat There are three kinds of lies... There but for the grace of God, go I There is no alternative There's an R in the month There's method in my madness There's no fool like an old fool There's no place like home There's no such thing as a free lunch (Tanstaafl) There's no such thing as bad publicity There's one (a sucker) born every minute There's one law for the rich and another law for the poor They couldn't hit an elephant at this distance Thick and fast Thick and thin (As) thick as thieves (As) thick as two short planks Thin air - Vanish into Thing of beauty is a joy forever - A Things that go bump in the night Think outside the box Thinking cap Third degree - The Third time lucky Thomas Paine - The writings of Thorn in the flesh Thou shalt not kill Though this be madness, yet there is method in it Three score and ten Three sheets to the wind Three strikes and you are out Through thick and thin Throw in the towel Throw good money after bad Throw your hat into the ring Thumbs up Thus far into the bowels of the land Ticked off Tickle the ivories Tickled pink Tide over Tie the knot Till the cows come home Time and tide wait for no man Tinker's damn Tilting at windmills Tissue of lies Titfer Tit for tat Tits up To a T To all intents and purposes To be or not to be, that is the question To beggar belief To boldly go where no man has gone before To boot To cast the first stone To err is human; to forgive divine To gild refined gold, to paint the lily To sleep: perchance to dream: ay, there's the rub To the manner born To the nth degree To travel hopefully is a better thing than to arrive Toast of the town Toe the line Toe-curling Toffee-nosed Tommy Atkins Tomorrow is another day Tongue in cheek Too big for your breeches Too much of a good thing Toodle-oo Tooth and nail Top dog Top drawer Top notch Topsy-turvy Total shambles Touch and go Touch with a barge-pole - Wouldn't Touch wood Touchy-feely Tout de suite Tower of strength Train surfing Trick or treat Trip the light fantastic Trouble and strife True blue Truth is stranger than fiction Truth will out Tuckered out Turkeys voting for Christmas Turn a blind eye Turn of phrase Turn the tables Turn up for the books Turn up trumps Twelve good men and true Twenty three skidoo Twenty four seven Two cents worth Two heads are better than one Two peas in a pod Under the thumb Under your hat - Keep it Under the auspices of Get - underway Under wraps Uneasy lies the head that wears a crown Union Jack The great - unwashed The - unkindest cut of all Up a blind alley Up a gum tree Up in arms Up the creek without a paddle Up the apples and pears Up the duff Up the pole Up the wooden hill to Bedfordshire Up to snuff Upper crust Upper hand Up in arms Ups-a-daisy Upset the apple-cart Up the ante Upside down Urban myth Use your loaf Usual suspects - The Using a sledgehammer to crack a nut Valentine's Day Poems and Sayings Van surfing Vanish into thin air Veg out Verbosity leads to unclear, inarticulate things Vice versa Vicious circle Vis-a-vis Visit the ladies' room Vorsprung Durch Technik Walk free Walk the walk Walk the plank Walter Scott (phrases coined by) Warts and all Watch the birdie (A) watched pot never boils Watching brief Wave a red rag to a bull Wax lyrical Wax poetic We are a grandmother We are not amused We few, we happy few, we band of brothers We have seen better days We know where you live Weakest link - A chain is only as strong as its Wear the trousers Wear your heart on your sleeve Weasel words Wee-wee Well heeled Well read Wet behind the ears Wet blanket What a piece of work is man What are you like? What football is all about What God has joined together let no man put asunder What part of no don't you understand? What you see is what you get - wysiwyg What's in a name? That which we call a rose by any other name would smell as sweet What's not to like? What's up Doc? When in Rome, do as the Romans do When it comes to the crunch When pigs fly When the going gets tough, the tough get going When the shit hits the fan Where there's muck there's brass Whet your appetite Which is which? Which witch is which? While you live, tell truth and shame the Devil! Whip round Whipper snapper Whipping boy Whistle and flute Whistle blower Whistle down the wind White as snow White bread White elephant Whole kit and caboodle - The Whole-hearted Whole nine yards - The Whole shebang - The Whoops-a-daisy Why does bread always fall butter side down? Why should the Devil have all the best tunes? Wick - you get on my Wide berth - Keep a Wild and woolly Wild goose chase Willy nilly Win hands down Win one for the Gipper (On a) wing and a prayer Wing it Winter drawers on Wish you were here With bells on Without a shadow of a doubt Without let or hindrance Without so much as a by your leave Woe betide you Woe is me Wolf in sheep's clothing Woman needs a man like a fish needs a bicycle - A Woman's place is in the home - A Women and children first Wooden hill to Bedfordshire Word association football Word for word Word in edgeways - A Word in your shell-like - A Words ending in gry Worse for wear Worth one's salt Wotcher Wouldn't touch with a barge-pole Wreak havoc Writing is on the wall - The Wrong end of the stick - The Wrong side of the blanket - The Yada yada Year dot - The Yellow-belly Yellow Peril You are what you eat You can catch more flies with honey than with vinegar You can lead a horse to water but you can't make it drink You can lead a whore to culture but you can't make her think You can't get blood out of a stone You can't have your cake and eat it too You can't make a silk purse out of a sow's ear You can't teach an old dog new tricks You get on my wick You look as if you've been dragged through a hedge backwards You'll wonder where the yellow went when you brush your teeth with Pepsodent Young turk Your days are numbered Your money or your life Your name is mud You've never had it so good Zero tolerance Zig-zag",The proverbial phrase 'revenge is a dish best served cold' expresses the notion that vengeance is more satisfying when exacted some time after the harm that instigated it.,"idiom,english"
